file_name,label
AA713_Q1.wav,1
AA713_Q14_0.wav,1
AA713_Q14_1.wav,1
AA713_Q14_2.wav,1
AA713_Q14_3.wav,1
AA713_Q14_4.wav,1
AA713_Q16_0.wav,1
AA713_Q16_1.wav,1
AA713_Q16_2.wav,1
AA713_Q16_3.wav,1
AA713_Q16_4.wav,1
AA713_Q16_5.wav,1
AA713_Q17.wav,1
AA713_Q19_0.wav,1
AA713_Q19_1.wav,1
AA713_Q19_2.wav,1
AA713_Q21_0.wav,1
AA713_Q21_1.wav,1
AA713_Q21_2.wav,1
AA713_Q21_3.wav,1
AA713_Q21_4.wav,1
AA713_Q21_5.wav,1
AA713_Q21_6.wav,1
AA713_Q21_7.wav,1
AA713_Q4.wav,1
AA713_Q5.wav,1
AA713_Q6_0.wav,1
AA713_Q6_1.wav,1
AA713_Q8_0.wav,1
AA713_Q8_1.wav,1
AA713_Q8_2.wav,1
AA713_Q8_3.wav,1
AA713_Q8_4.wav,1
AA713_Q8_5.wav,1
AA713_Q8_6.wav,1
AI128_Q14_0.wav,1
AI128_Q14_1.wav,1
AI128_Q14_2.wav,1
AI128_Q14_3.wav,1
AI128_Q14_4.wav,1
AI128_Q14_5.wav,1
AI128_Q14_6.wav,1
AI128_Q14_7.wav,1
AI128_Q18_0.wav,1
AI128_Q18_1.wav,1
AI128_Q18_10.wav,1
AI128_Q18_11.wav,1
AI128_Q18_12.wav,1
AI128_Q18_13.wav,1
AI128_Q18_14.wav,1
AI128_Q18_15.wav,1
AI128_Q18_16.wav,1
AI128_Q18_17.wav,1
AI128_Q18_18.wav,1
AI128_Q18_19.wav,1
AI128_Q18_2.wav,1
AI128_Q18_20.wav,1
AI128_Q18_3.wav,1
AI128_Q18_4.wav,1
AI128_Q18_5.wav,1
AI128_Q18_6.wav,1
AI128_Q18_7.wav,1
AI128_Q18_8.wav,1
AI128_Q18_9.wav,1
AI128_Q4.wav,1
AI128_Q8_0.wav,1
AI128_Q8_1.wav,1
AI128_Q8_2.wav,1
AI128_Q8_3.wav,1
AI128_Q8_4.wav,1
AI128_Q8_5.wav,1
AI128_Q8_6.wav,1
AM058_Q1.wav,1
AM058_Q13_0.wav,1
AM058_Q13_1.wav,1
AM058_Q13_2.wav,1
AM058_Q13_3.wav,1
AM058_Q13_4.wav,1
AM058_Q19.wav,1
AM058_Q21_0.wav,1
AM058_Q21_1.wav,1
AM058_Q21_2.wav,1
AM058_Q21_3.wav,1
AM058_Q23.wav,1
AM058_Q24.wav,1
AM058_Q4.wav,1
AM058_Q5_0.wav,1
AM058_Q5_1.wav,1
AM058_Q6_0.wav,1
AM058_Q6_1.wav,1
AM058_Q7_0.wav,1
AM058_Q7_1.wav,1
AM058_Q7_2.wav,1
AM058_Q7_3.wav,1
AM058_Q7_4.wav,1
AM058_Q7_5.wav,1
AM058_Q8_0.wav,1
AM058_Q8_1.wav,1
AM058_Q8_2.wav,1
AM058_Q8_3.wav,1
AM058_Q8_4.wav,1
AM058_Q8_5.wav,1
AM526_Q10.wav,1
AM526_Q1_BROKEN.wav,1
AN867_Q1.wav,1
AN867_Q10.wav,1
AN867_Q11.wav,1
AN867_Q20_0.wav,1
AN867_Q20_1.wav,1
AN867_Q24.wav,1
AN867_Q4.wav,1
AN867_Q6_0.wav,1
AN867_Q6_1.wav,1
AN867_Q7_0.wav,1
AN867_Q7_1.wav,1
AN867_Q7_2.wav,1
AN867_Q7_3.wav,1
AN867_Q7_4.wav,1
AN867_Q7_5.wav,1
AN867_Q7_6.wav,1
AN867_Q7_7.wav,1
